id,subject,hours,planId,type,parentId,stringNumber,blockId,departmentId,code,hoursSelfWork
2085058,Электрические и гидравлические приводы механических и робототехнических систем (Electric and Hydraulic Drives of Mechatronic and Robotic Systems),288,6605,subject,,4,65408,23,Б1.В.04,133
2085055,Компьютерные технологии управления в технических системах (Computer-based Technologies of Control in Technical Systems),288,6605,subject,,5,65408,25,Б1.В.05,150
2085061,Мехатронные системы и робототехника (Mechatronic Systems and Robotics),252,6605,subject,,6,65408,25,Б1.В.06,148
2085079,Интеллектуальное управление в технических системах (Intelligent Control in Technical Systems),216,6605,subject,,7,65408,25,Б1.В.07,164
2085060,Системы обеспечения безопасности технических средств управления (Systems of Ensuring the Safety for Technical Control Devises),180,6605,subject,,8,65408,39,Б1.В.08,111
2085063,Дисциплины по выбору Б1.В.ДВ.1,216,6605,choice,,9,65408,,Б1.В.ДВ.01,129
2085064,Моделирование и синтез нелинейных элементов систем (Modeling and Synthesis of Nonlinear Elements of Systems),216,6605,subject,"2,085,063",10,65408,29,Б1.В.ДВ.01.01,129
2085065,Математическое моделирование объектов и систем управления (Mathematical Modeling of Objects and Automatic Control Systems),216,6605,subject,"2,085,063",11,65408,12,Б1.В.ДВ.01.02,129
2085066,Дисциплины по выбору Б1.В.ДВ.2,252,6605,choice,,12,65408,,Б1.В.ДВ.02,148
2085067,Электромеханотронные комплексы и системы (Electromechatronical Complexes and Systems),252,6605,subject,"2,085,066",13,65408,23,Б1.В.ДВ.02.01,148
2085068,Адаптивное управление в мехатронике и робототехнике (Adaptive Control in Mechatronics and Robotics),252,6605,subject,"2,085,066",14,65408,25,Б1.В.ДВ.02.02,148
2085059,Нелинейное и адаптивное управление в технических системах (Nonlinear and Adaptive Control in Technical Systems),216,6605,subject,,15,65407,25,Б1.О.01,112
2085057,Современные методы теории управления (Modern Methods of Control Theory),288,6605,subject,,16,65407,25,Б1.О.02,184
2085062,Проектирование оптимальных систем управления (Optimal Control Systems Development),180,6605,subject,,17,65407,25,Б1.О.03,93
2085075,Дисциплины по выбору Б1.Б.ДВ.1,216,6605,choice,,18,65407,,Б1.О.ДВ.01,111
2085076,Иностранный язык (Foreign Language),216,6605,subject,"2,085,075",19,65407,9,Б1.О.ДВ.01.01,111
2085077,Русский язык как иностранный (Russian as a Foreign Language),216,6605,subject,"2,085,075",20,65407,41,Б1.О.ДВ.01.02,111
2085071,Производственная практика (преддипломная практика) (Internship (Pre-degree Internship)),756,6605,practice,,21,65411,25,Б2.В.01(Пд),754
2085069,Учебная практика (ознакомительная практика) (Introductory Practice),108,6605,practice,,22,65410,25,Б2.О.01(У),107
2085078,Производственная практика (технологическая (проектно-технологическая) практика) (Technological (RnD) practice),108,6605,practice,,23,65410,25,Б2.О.02(П),106
2085070,Производственная практика (научно-исследовательская работа (Field Experience (RnD)),108,6605,practice,,24,65410,25,Б2.О.03(П),106
2085072,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы (Execution, Preparation for the Defense Procedure and Defense of the Graduate Qualifying Work)",324,6605,stateExam,,25,65412,25,Б3.01,322
2085073,Методы и средства математической оптимизации в области технических систем (Methods and Means of Mathematical Optimization in the Field of Technical Systems),72,6605,subject,,26,65413,25,ФТД.01,37
